turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_2z8wBslcmTzUVGz,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_3EgN4LqFAN9uT58,Florida,Higher dispersion,640.0,180.0,1,6,320,No
R_31zadzyTS9p6UWf,Florida,Equal dispersion,680.0,240.0,0,3,260,No
R_3n1Qn50g4tHBmoi,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1N23bFz6swrDjz5,Florida,Higher dispersion,640.0,240.0,0,3,260,No
R_2qlNP9KbZKW8XLq,Florida,Equal dispersion,580.0,220.0,1,3,260,No
R_3G807zH5MtYnbYr,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_29oa8bCIytNoSCg,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_soDfelicIiZJC6Z,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_2Ptkx1rzArZYoWi,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_vODJWR7It32YMeJ,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_2wuz9dlvi9sxNbB,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_1HobB0VXVRSVNVz,Florida,Higher dispersion,720.0,280.0,0,2,320,No
R_3Lhk5uqfklQZM3C,Florida,Equal dispersion,620.0,260.0,0,3,260,No
R_1IFS1wyUuoaXvLS,Florida,Equal dispersion,580.0,240.0,0,3,260,No
R_xEkkS4LwwskdI1H,Florida,Higher dispersion,1200.0,400.0,0,1,340,Yes
R_3GDqmjRy1UP64as,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_1JVJLU02q5CMMxV,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2Xoiv3iLpbRN6Pc,Florida,Higher dispersion,560.0,180.0,1,3,260,No
R_3MPrs2yAiZNeMpT,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_3lxcXIwO7KsYZp7,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_3iwZih8fMtmROvv,Colorado,Equal dispersion,0.0,240.0,0,1,340,No
R_1jOLo66V5SnlgVr,Florida,Higher dispersion,580.0,260.0,0,6,320,No
R_3p9KUtIccA2O98v,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_20SWti2enKJB1qi,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_3k22IDs5tYKC3iJ,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_3RpxLCo4CqlHZ4M,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_3NzctzVDzX9hf1b,Florida,Higher dispersion,680.0,260.0,0,2,320,No
R_1FR1QYcSO9jkuI2,Colorado,Equal dispersion,0.0,380.0,0,1,340,Yes
R_elJDazoZjAFYLWV,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_1ghYiQE5Ke2Kk4R,Florida,Equal dispersion,620.0,220.0,1,3,260,No
R_21FYUjlZEH1euVk,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_1N3RxOYmTuI3LiF,Florida,Higher dispersion,650.0,280.0,0,3,260,No
R_DN152kjJMOqtr4l,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_UaRArZWgucgnWGl,Florida,Higher dispersion,500.0,160.0,1,3,260,No
R_2P0tAhIvR4sKqAo,Florida,Higher dispersion,640.0,240.0,0,5,300,No
R_3MyuwkXP5oiKlCX,Florida,Higher dispersion,600.0,250.0,0,5,300,No
R_1Qo6sVAahh6hUCT,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_1pFeFqEp4EVueRK,Florida,Equal dispersion,640.0,240.0,0,1,340,No
R_RJHxXN9SBPYumGZ,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_10YuLK03edvplx6,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_3J3CsYbgR2b2IBu,Florida,Equal dispersion,640.0,300.0,0,3,260,No
R_7QloTzQMzm3N3Ed,Colorado,Higher dispersion,0.0,280.0,0,1,340,No
R_2U5vHsyjy9CwFmZ,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2t9Zyw1mIJzktST,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_3Jxhdh7KkLNhp3i,Florida,Higher dispersion,620.0,180.0,1,3,260,No
R_2wdkHY2eSvO8ZD3,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_4SpgNtArABYdsAh,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_ezzTG77pCtlHyaB,Florida,Higher dispersion,600.0,140.0,1,3,260,No
R_byBUWHvALdf7UQx,Florida,Higher dispersion,500.0,230.0,1,1,340,No
R_yUrQ3LrOY4SZiKd,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1d4ExGEWfzu9tOe,Florida,Equal dispersion,640.0,260.0,0,2,320,No
R_XpoW8P89j7kc8p3,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_W9jNzmQVMuko4O5,Florida,Equal dispersion,560.0,240.0,0,3,260,No
R_3R9D19ertjANiCz,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_Y0k5LbuyBMroich,Florida,Higher dispersion,600.0,260.0,0,6,320,No
R_3qkA8af9eSDJtmi,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_2xys2OWLW9c8VP8,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_Rwu5YuIXTnA3Nh7,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_3MPxBEMLIB6QnPD,Florida,Higher dispersion,600.0,280.0,0,2,320,No
R_1Itmzi0ORExscsl,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_2sRBpaqW6zIf0jg,Florida,Equal dispersion,720.0,260.0,0,1,340,No
R_vMq8FJ0Bzdx4OBz,Colorado,Higher dispersion,0.0,280.0,0,2,320,No
R_SB4K7FohyjVBroJ,Florida,Equal dispersion,640.0,260.0,0,6,320,No
R_1OH72WBDkonltNt,Florida,Equal dispersion,560.0,240.0,0,6,320,No
R_sL3E8hiInwtJlF7,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_3iCPQgviIigjo6m,Florida,Higher dispersion,600.0,260.0,0,3,260,No
R_2Cp1tBP8UF6yUgh,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_yDs3UZtdMHZIHlv,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_3PSlVQ9ErWlC8Z8,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2E0gsYP8S4A6Zr8,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_3JgS0B4awqLFesl,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2uZIdssS1xYFJds,Florida,Higher dispersion,600.0,140.0,1,5,300,No
R_dmSyZU8N5wGZ7Zn,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_1N33RWvYbq9gxql,Florida,Higher dispersion,1000.0,250.0,0,6,320,No
R_21FaXmXTKh4GFpZ,Colorado,Equal dispersion,0.0,280.0,0,3,260,No
R_SC7iR9Kj5vSvrMt,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2YVMZ4VfAlwe3rR,Florida,Equal dispersion,640.0,260.0,0,2,320,No
R_3snTViA1EH7sEFm,Colorado,Equal dispersion,0.0,320.0,0,2,320,No
R_10wOUbyUp1Neeu7,Colorado,Higher dispersion,0.0,180.0,1,6,320,No
R_2fwm8UuTvcHSjP7,Florida,Equal dispersion,600.0,220.0,1,3,260,No
R_2tfDLaj4Dkax1gR,Colorado,Higher dispersion,0.0,220.0,1,3,260,No
R_2aEv7JcAy6ibwbm,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_4ZsNKSnnIUN8Ylr,Florida,Higher dispersion,620.0,220.0,1,3,260,No
R_2q2wCiq6LFMvI8k,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_1cZFHau1qHxhLOH,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_12sPqGvPHtyjldd,Florida,Higher dispersion,520.0,180.0,1,6,320,No
R_2YF06lt113JrOmX,Florida,Higher dispersion,640.0,220.0,1,2,320,No
R_3p8SdlRIkcHCCnp,Florida,Higher dispersion,640.0,300.0,0,3,260,No
R_cGAQ5CTiKvXJVUl,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_p3iCesLx16rQvkd,Florida,Equal dispersion,640.0,320.0,0,3,260,No
R_pscJYI5iD4TNsEF,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_1dgmrGfjutvqwxJ,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_1JL14vcRcfDudPO,Florida,Higher dispersion,680.0,300.0,0,2,320,No
R_3G8te247A36oPYn,Colorado,Equal dispersion,0.0,260.0,0,6,320,No
R_2AMu5j4gh1Srgg8,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_RXrRBvUDyyT6Awx,Colorado,Higher dispersion,0.0,230.0,1,3,260,No
R_1mQ3Jh4SlqPkl8S,Colorado,Higher dispersion,0.0,240.0,0,6,320,No
R_0D0sQGXHiycO5qx,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_3JgVUICm1rNqzyG,Florida,Higher dispersion,650.0,280.0,0,6,320,No
R_2Xnhi8O5DEGDkLY,Colorado,Equal dispersion,0.0,240.0,0,6,320,No
R_1f8jbjcG4vDEWj6,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2qfNd1m1l6rIGjc,Colorado,Higher dispersion,0.0,220.0,1,3,260,No
R_1omWZl7E2bKB3gc,Colorado,Equal dispersion,0.0,240.0,0,5,300,No
R_1Qhn5dznKQ3pWrr,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_1pzkOIONpc8K5B2,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_2veNDoP07VdsG6A,Colorado,Equal dispersion,0.0,240.0,0,6,320,No
R_8f9MNq0Y28ARP6p,Florida,Higher dispersion,760.0,180.0,1,1,340,No
R_2uKwLuJIxzq8vir,Colorado,Equal dispersion,0.0,260.0,0,6,320,No
R_3g6lUxpNyfXL14t,Florida,Higher dispersion,720.0,240.0,0,3,260,No
R_1gOcyvoPLhqiEa7,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_2TXEIJcZw0mNpne,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2mf5WYEypmMuJpv,Florida,Higher dispersion,600.0,200.0,1,3,260,No
R_3L6hcpOHuAzoO47,Florida,Higher dispersion,640.0,180.0,1,3,260,No
R_2a9wPeJxLbHIflR,Florida,Higher dispersion,640.0,230.0,1,6,320,No
R_1qeKf8PWHYnTBBR,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2tzD8EJpEiQjgVs,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1i9XtKWTCO2tBQv,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_3WNse9U4Nm1DmQF,Florida,Equal dispersion,530.0,240.0,0,3,260,No
R_3g8vfnkEaUmda3n,Colorado,Equal dispersion,0.0,260.0,0,6,320,No
R_PTFuhQvfL0Fhgg9,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_1n0dwwwyGBdnvw7,Florida,Higher dispersion,680.0,260.0,0,2,320,No
R_3HRLVlp5laoeNjQ,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_1goHMnk5hALQ9Nc,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_2UhiqXTmS8n3Kl0,Colorado,Higher dispersion,0.0,260.0,0,5,300,No
R_qwJlhaymYBYh9nz,Florida,Equal dispersion,480.0,220.0,1,3,260,No
R_bdyRoCtBVLJBk2t,Florida,Higher dispersion,468.0,200.0,1,1,340,No
R_2chYeg2IQWBbCzT,Florida,Higher dispersion,600.0,220.0,1,3,260,No
R_AsXXpUsMyvJ1RpD,Florida,Equal dispersion,800.0,200.0,1,3,260,No
R_3JqFk7VOkGyKDut,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_3sjHyg99b7n9AIN,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_2UbFlEVou8s0A93,Colorado,Higher dispersion,0.0,160.0,1,3,260,No
R_3kn6n9QYV8ByvR6,Florida,Higher dispersion,560.0,180.0,1,6,320,No
R_1Txhnge4g2MTrB7,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_3e9d3XhJ8eX5MzA,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1cSoWfRazZzfRV3,Florida,Higher dispersion,760.0,320.0,0,6,320,No
R_UGzImQV8lUDyJFL,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_2fxMuac0ZwvwfO6,Colorado,Higher dispersion,0.0,180.0,1,6,320,No
R_plPrx47exz6zPqN,Florida,Higher dispersion,550.0,240.0,0,3,260,No
R_2dhJLnOrCL6Rb1H,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_3rHgINaNU1wwqAe,Colorado,Equal dispersion,0.0,300.0,0,2,320,No
R_3PZDWuaY16Tfqt3,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_3qsW0WZ0dF8QeGO,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_31bJGpTALYm5c9r,Colorado,Equal dispersion,0.0,280.0,0,3,260,No
R_2zvHIrDFD7Y3SfA,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_3DqNP7zUM6vxk9O,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1eyhgro8P2KnpYH,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_1cYwUcLIXsp5QnN,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_3hgNDJZwZIXxjYo,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_dm3hwDSenSx6J3z,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_zdlpKSufP5bREtz,Florida,Equal dispersion,500.0,230.0,1,1,340,No
R_2WGpfXMzI1DVLqH,Florida,Higher dispersion,560.0,200.0,1,3,260,No
R_AvV1p3WjvjOzHwt,Florida,Equal dispersion,600.0,240.0,0,1,340,No
R_10r5eRBTknUvZ1Q,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_20NcIwjE6pvzrup,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_2R4H3QYlfn72z87,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_poMXbhj88FvvPIB,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_XvagecslLDKjO8h,Florida,Higher dispersion,640.0,300.0,0,2,320,No
R_3Du8B1NQ2Z64SzZ,Florida,Higher dispersion,600.0,250.0,0,5,300,No
R_1LuF00Fynbf74jT,Florida,Higher dispersion,640.0,240.0,0,3,260,No
R_C4hxeDmEy9NcQmZ,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_1jQjNd28q1s6oKq,Colorado,Higher dispersion,0.0,140.0,1,3,260,No
R_3J3gxPPWWij13ug,Florida,Higher dispersion,640.0,240.0,0,3,260,No
R_2S8pYW99NUQpCzH,Florida,Equal dispersion,600.0,240.0,0,6,320,No
R_PZjyLqWLgCt58Vr,Florida,Higher dispersion,626.0,260.0,0,3,260,No
R_33m8KNS2qxi86sY,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_2wuj7i6KwRNLmkI,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_pGgcu1VwL3KlE0V,Colorado,Equal dispersion,0.0,280.0,0,1,340,No
R_ZajlXMDF1LHolq1,Colorado,Higher dispersion,0.0,240.0,0,5,300,No
R_2OZndDATiN4ypfS,Colorado,Higher dispersion,0.0,160.0,1,3,260,No
R_2rSFrFnVIzNaAhW,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_2fqX6AwKaCZnB74,Florida,Equal dispersion,500.0,260.0,0,3,260,No
R_2QJninvD1NnzjEK,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_2SJDakR3IiXMlv6,Colorado,Equal dispersion,0.0,320.0,0,2,320,No
R_3Jra9c3GJn08ifV,Colorado,Higher dispersion,0.0,230.0,1,3,260,No
R_3MRUIsfqDAWOEVP,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_22M4um4HkKwJTkT,Florida,Higher dispersion,600.0,200.0,1,3,260,No
R_1QuVDs2zhfDCBQF,Colorado,Equal dispersion,0.0,340.0,0,2,320,Yes
R_2VORgbgQOmo5Zp8,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_pFbZwTV6qfXooiB,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_3RkAyCdCdhzcc7D,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_1hEEBLJzKWJgcYg,Colorado,Higher dispersion,0.0,280.0,0,3,260,No
R_1dAjdkskNyh3TDm,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_2Tz2Te9jug8HKMu,Florida,Equal dispersion,680.0,240.0,0,3,260,No
R_8v8l91JAKMpfrH3,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2czKz2bXoMJJnk6,Colorado,Equal dispersion,0.0,300.0,0,2,320,No
R_2YPUNRxEE5MBTQQ,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_3HH8412tiueS9h5,Florida,Higher dispersion,640.0,220.0,1,3,260,No
R_3JKHuJlpzGlQMIQ,Florida,Equal dispersion,640.0,280.0,0,2,320,No
R_1CJ6ntg6bAOWZeW,Florida,Equal dispersion,580.0,260.0,0,3,260,No
R_2mDLHus5yonA1pf,Florida,Higher dispersion,680.0,260.0,0,6,320,No
R_27jI4DSvwIHZY9I,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_pmZ6fc0ABQ2rhO9,Colorado,Equal dispersion,0.0,260.0,0,5,300,No
R_sBuL0cTVqK8E9Z7,Colorado,Higher dispersion,0.0,260.0,0,5,300,No
R_3pnIP6ei5AjTrcH,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2xVice4Q4Ygn3Gy,Florida,Equal dispersion,700.0,300.0,0,1,340,No
R_3CW8J3vXrrqK20z,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_3373bhNrqOsMxiO,Florida,Higher dispersion,540.0,180.0,1,3,260,No
R_xDDdzJHFzzcizMR,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_2Vdo88mdHPsmaLI,Colorado,Higher dispersion,0.0,140.0,1,3,260,No
R_10VNToXqtH6IYeE,Florida,Higher dispersion,600.0,352.0,0,1,340,Yes
R_2E6O9Dadznm4hcc,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_29iYO6y1RDeOrkq,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_1oEUT3YZTMn3nms,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1qfgZxzT2eEsfLo,Florida,Higher dispersion,600.0,200.0,1,3,260,No
R_YYNGk7uZx9FCDZf,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2P5M5vcLEBGf5t9,Florida,Higher dispersion,560.0,240.0,0,3,260,No
R_afPxuyqkLdwni7f,Florida,Higher dispersion,640.0,200.0,1,2,320,No
R_295rGNXl3bqxHxW,Florida,Higher dispersion,660.0,200.0,1,6,320,No
R_2dg3QHza3W5gpxm,Colorado,Equal dispersion,0.0,280.0,0,3,260,No
R_2wvrA1ZwVQm4k3x,Florida,Higher dispersion,720.0,240.0,0,2,320,No
R_2c6JiRMR9lJqKA6,Florida,Equal dispersion,640.0,260.0,0,2,320,No
R_3D6AT8F4TyT9O3G,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_R84hjM8MCmoI9a1,Florida,Higher dispersion,920.0,260.0,0,3,260,No
R_eD8Um1t6fzKARLr,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_2qayfQhQtSU6t0w,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_OvvHl7DDfCJAsV3,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_28NE1Qs8wrOMYLB,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_28A5KKdpOWOjy8N,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2OGSKSRCvsQqZNk,Florida,Equal dispersion,640.0,200.0,1,3,260,No
R_2EnL0jacWJewok9,Colorado,Higher dispersion,0.0,120.0,1,3,260,No
R_1mOh3AA7HfvfJ3u,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_1CjXuNXrIg5Dwpl,Florida,Higher dispersion,500.0,120.0,1,3,260,No
R_AByDmrDAl9kgNAl,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_1FfjGTwFq25eiEn,Colorado,Higher dispersion,0.0,130.0,1,3,260,No
R_1Hc6JDlDOQ6orJZ,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1mViLQLaBre5KbN,Florida,Higher dispersion,400.0,180.0,1,3,260,No
R_27HSRmkTG0l9Zdh,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_vqsOnEO2g7e6pGh,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_1qadEWzK3YRdiZd,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_3GDS8MDstQWcvwo,Florida,Equal dispersion,800.0,240.0,0,1,340,No
R_1Nay2a2MvJEyUQ2,Florida,Higher dispersion,640.0,240.0,0,1,340,No
R_24pXcYvcmXPjNwV,Florida,Higher dispersion,640.0,240.0,0,3,260,No
R_UAyhbwU4Sb7yHKx,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_ULtH5ioVSabZIpH,Florida,Equal dispersion,620.0,240.0,0,3,260,No
R_295IYujF1IvwgJU,Florida,Higher dispersion,600.0,190.0,1,3,260,No
R_2smfm6aTJ03dCCt,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_ezIp8ZuC6s6pdM5,Florida,Higher dispersion,600.0,260.0,0,6,320,No
R_277i3wXhVizTxXH,Colorado,Higher dispersion,0.0,200.0,1,6,320,No
R_Z3SWImGwPLLnvZn,Florida,Equal dispersion,720.0,280.0,0,2,320,No
R_AG5FdUs1vOloO0p,Florida,Higher dispersion,600.0,260.0,0,3,260,No
R_TcLhgrA8A4z6E5r,Florida,Equal dispersion,620.0,240.0,0,3,260,No
R_3L12L3pFMOGCeZX,Colorado,Higher dispersion,0.0,280.0,0,2,320,No
R_Zf4PCfMZZCfRwf7,Florida,Higher dispersion,640.0,180.0,1,3,260,No
R_ylm0O8n7rnnhLuF,Colorado,Higher dispersion,0.0,280.0,0,1,340,No
R_4UAcs9HJS6GtFAt,Florida,Higher dispersion,550.0,180.0,1,5,300,No
R_2YEOJRmHIEw9wWs,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2BbTf6rF4VhHdtH,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_3oLR5TM9ReUc3a6,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_1Qsc74SD4kSpP0x,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_XhucIsvWDriNuZX,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_1C1uTBCTHUBX6HX,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2lgGYZTldn13w0p,Florida,Higher dispersion,600.0,240.0,0,5,300,No
